"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2017S000680    ",3,"Sants-Montjuïc",11,"el Poble-sec",178400,"Lleida","0039 0039","Dijous","2017",1,"Gener","26","10","Gir indegut o sense precaució","Matí","430992.2  ","4584476.26","2.17324850309151","41.4070264035804"
"2017S006476    ",2,"Eixample",7,"la Dreta de l'Eixample",18505,"Aragó","0278 0278","Dimarts","2017",7,"Juliol","25","09","Manca d'atenció a la conducció","Matí","430340.37 ","4582873.68","2.16563519010374","41.3925362325859"
"2017S006692    ",2,"Eixample",7,"la Dreta de l'Eixample",74506,"Catalunya","0063 0063","Dimecres","2017",8,"Agost","2","16","Gir indegut o sense precaució","Tarda","430155.92 ","4582713.39","2.16344759987996","41.3910765420245"
"2017S009330    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0611 0611","Dissabte","2017",11,"Novembre","11","01","Altres","Nit","430557.69 ","4582525.42","2.16827438454617","41.3894183751233"
"2017S007726    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0623 0623","Dilluns","2017",9,"Setembre","18","18","Gir indegut o sense precaució","Tarda","430694.58 ","4582659.98","2.16989615421344","41.3906421323283"
"2017S005051    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0633 0633","Divendres","2017",6,"Juny","9","12","No respectar distàncies","Matí","430786.78 ","4582752.66","2.17098827029199","41.3914848187903"
"2017S000929    ",2,"Eixample",5,"el Fort Pienc",11200,"Almogàvers","0055 0055","Divendres","2017",2,"Febrer","3","14","No determinada","Tarda","431704.5  ","4583927.53","2.18183177482072","41.4021450487065"
"2017S004589    ",2,"Eixample",5,"el Fort Pienc",225500,"Nàpols","0122 0126","Dimecres","2017",5,"Maig","24","14","No respectar distàncies","Tarda","431464.86 ","4583206.91","2.17904680343018","41.3956342329842"
"2017S005937    ",2,"Eixample",5,"el Fort Pienc",325005,"Sicília","0117 0121","Divendres","2017",7,"Juliol","7","16","Manca precaució incorporació circulació","Tarda","431529.89 ","4583318.43","2.17981200505028","41.3966442049148"
"2017S001643    ",2,"Eixample",5,"el Fort Pienc",76807,"Sardenya","0234 0240","Dimarts","2017",2,"Febrer","28","11","Gir indegut o sense precaució","Matí","431076.4  ","4583988.83","2.17431134802627","41.4026435099688"
